,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Plays
108,Shaun Herbert,Northwestern,Big Ten,12,32,465,14.5,1,,32
109,Junior Taylor,UCLA,Pac-10,12,32,463,14.5,2,,32
110,Justin McCullum,Stanford,Pac-10,10,26,376,14.5,1,,26
111,Phil Goodman,Temple,Big East,11,47,677,14.4,5,,47
112,Jared Jones,Syracuse,Big East,12,43,613,13.3,3,3,46
113,Joe Fernandez,Fresno State,WAC,12,38,553,14.2,4,1,39
114,Ben Obomanu,Auburn,SEC,13,25,366,14.1,7,1,26
115,Ted Ginn Jr.,Ohio State,Big Ten,12,25,472,12.4,4,13,38
116,Steve Fleming,Arizona,Pac-10,11,23,332,14.4,2,,23
117,Steve Savoy,Utah,MWC,12,67,1268,14.2,17,22,89
118,Grant Adams,Boston College,Big East,12,52,745,14.3,3,,52
119,Marques Roberts,Baylor,Big 12,11,40,570,14.3,6,,40
120,Tavaris Capers,UCF,MAC,11,36,506,13.7,4,1,37
121,Matt Knueven,Buffalo,MAC,11,29,426,13.7,1,2,31
122,Terrance Breaux,Buffalo,MAC,11,23,330,14.3,1,,23
123,Airese Currie,Clemson,ACC,11,61,876,13.1,2,6,67
124,Drisan James,Boise State,WAC,12,40,568,14.2,1,,40
125,Joshua Tinch,Louisville,CUSA,12,36,510,14.2,1,,36
127,Mark Bradford,Stanford,Pac-10,11,34,526,13.8,1,4,38
128,Nate Curry,Georgia Tech,ACC,11,32,454,14.2,3,,32
129,Andy Blount,North Texas,Sun Belt,12,30,427,14.2,5,,30
130,Sonny Shackelford,Washington,Pac-10,11,21,291,13.2,1,1,22
131,Jared Ellerson,Minnesota,Big Ten,12,37,589,12.5,3,10,47
132,Dan Murray,Connecticut,Big East,12,28,396,14.1,5,,28
133,Rod McNeal,Utah State,Sun Belt,10,26,488,8.9,1,29,55
134,Jay'Mond Cleveland,SMU,WAC,10,24,339,14.1,0,,24
135,Santonio Holmes,Ohio State,Big Ten,12,55,788,13.8,7,2,57
136,Robert Ortiz,San Diego State,MWC,11,52,724,13.4,6,2,54
137,Antwon Courington,Southern Mississippi,CUSA,12,47,698,13.2,5,6,53
138,Paul Dombrowski,New Mexico State,Sun Belt,11,28,553,7.5,5,46,74
139,John Madsen,Utah,MWC,12,27,377,14.0,5,,27
140,Tony Pennyman,Utah State,Sun Belt,11,43,651,12.1,3,11,54
141,Luther Huggins,UCF,MAC,11,42,585,13.9,3,,42
142,Alvin Pearman,Virginia,ACC,12,29,1439,6.4,11,195,224
143,Chris Baker,Rutgers,Big East,11,28,388,13.9,2,,28
144,Tyrone Prothro,Alabama,SEC,12,25,413,10.9,2,13,38
145,Kerry Wright,Middle Tennessee State,Sun Belt,11,76,1061,13.3,11,4,80
146,Erik Davis,Vanderbilt,SEC,10,37,510,13.8,3,,37
148,Andrew Mooney,New Mexico State,Sun Belt,11,27,372,13.8,2,,27
149,Darron White,Memphis,CUSA,12,26,371,10.0,1,11,37
150,Anthony Perine,Southern Mississippi,CUSA,12,24,332,13.8,1,,24
151,Braylon Edwards,Michigan,Big Ten,12,97,1391,13.5,15,6,103
152,Cory Rodgers,Texas Christian,CUSA,11,61,871,11.9,9,12,73
